percent_bachelor_or_above,name,state_fips,district,year,congress_session,raceyear,state,area,repcandidate,demcandidate
58.5,"Congressional District 18 (114th Congress), California",06,18,2014,114th Congress,2014,California,District 18,"Fox, Richard B.","Eshoo, Anna G."
32.1,"Congressional District 19 (114th Congress), California",06,19,2014,114th Congress,2014,California,District 19,,"Lofgren, Zoe"
26.4,"Congressional District 20 (114th Congress), California",06,20,2014,114th Congress,2014,California,District 20,,"Farr, Sam"
8.1,"Congressional District 21 (114th Congress), California",06,21,2014,114th Congress,2014,California,District 21,"Valadao, David","Renteria, Amanda"
23.3,"Congressional District 22 (114th Congress), California",06,22,2014,114th Congress,2014,California,District 22,"Nunes, Devin","Aguilera-Marrero, Suzanna"
19.1,"Congressional District 23 (114th Congress), California",06,23,2014,114th Congress,2014,California,District 23,"McCarthy, Kevin","Garcia, Raul"
31.8,"Congressional District 24 (114th Congress), California",06,24,2014,114th Congress,2014,California,District 24,"Mitchum, Chris","Capps, Lois"
26.8,"Congressional District 25 (114th Congress), California",06,25,2014,114th Congress,2014,California,District 25,"Knight, Steve",
31.6,"Congressional District 26 (114th Congress), California",06,26,2014,114th Congress,2014,California,District 26,"Gorell, Jeff","Brownley, Julia"
40.2,"Congressional District 27 (114th Congress), California",06,27,2014,114th Congress,2014,California,District 27,"Orswell, Jack","Chu, Judy"
42.7,"Congressional District 28 (114th Congress), California",06,28,2014,114th Congress,2014,California,District 28,,"Schiff, Adam B."
18.5,"Congressional District 29 (114th Congress), California",06,29,2014,114th Congress,2014,California,District 29,"Leader, William O'Callghan","Cardenas, Tony"
15.3,"Congressional District 3 (114th Congress), West Virginia",54,03,2014,114th Congress,2014,West Virginia,District 3,"Jenkins, Evan","Rahall, Nick J. II"
26.5,"Congressional District 1 (114th Congress), Wisconsin",55,01,2014,114th Congress,2014,Wisconsin,District 1,"Ryan, Paul D.","Zerban, Rob"
38.9,"Congressional District 2 (114th Congress), Wisconsin",55,02,2014,114th Congress,2014,Wisconsin,District 2,"Theron, Peter","Pocan, Mark"
23.3,"Congressional District 3 (114th Congress), Wisconsin",55,03,2014,114th Congress,2014,Wisconsin,District 3,"Kurtz, Tony","Kind, Ron"
26.6,"Congressional District 4 (114th Congress), Wisconsin",55,04,2014,114th Congress,2014,Wisconsin,District 4,"Sebring, Dan","Moore, Gwendolynne S."
34.5,"Congressional District 5 (114th Congress), Wisconsin",55,05,2014,114th Congress,2014,Wisconsin,District 5,"Sensenbrenner, F. James Jr.","Rockwood, Chris B."
24.5,"Congressional District 6 (114th Congress), Wisconsin",55,06,2014,114th Congress,2014,Wisconsin,District 6,"Grothman, Glenn S.","Harris, Mark L."
21.1,"Congressional District 7 (114th Congress), Wisconsin",55,07,2014,114th Congress,2014,Wisconsin,District 7,"Duffy, Sean","Westlund, Kelly"
24.0,"Congressional District 8 (114th Congress), Wisconsin",55,08,2014,114th Congress,2014,Wisconsin,District 8,"Ribble, Reid J.","Gruett, Ron"
25.1,"Congressional District (at Large) (114th Congress), Wyoming",56,00,2014,114th Congress,2014,Wyoming,At Large,"Lummis, Cynthia M.","Grayson, Richard"
,"Resident Commissioner District (at Large) (114th Congress), Puerto Rico",72,98,2014,114th Congress,2014,,,,
23.3,"Congressional District 1 (115th Congress), Alabama",01,01,2016,115th Congress,2016,Alabama,District 1,"Byrne, Bradley",
21.8,"Congressional District 2 (115th Congress), Alabama",01,02,2016,115th Congress,2016,Alabama,District 2,"Roby, Martha","Mathis, Nathan"
21.2,"Congressional District 3 (115th Congress), Alabama",01,03,2016,115th Congress,2016,Alabama,District 3,"Rogers, Mike D.","Smith, Jesse Tremain"
16.3,"Congressional District 4 (115th Congress), Alabama",01,04,2016,115th Congress,2016,Alabama,District 4,"Aderholt, Robert",
30.5,"Congressional District 5 (115th Congress), Alabama",01,05,2016,115th Congress,2016,Alabama,District 5,"Brooks, Mo","Boyd, Will"
35.2,"Congressional District 6 (115th Congress), Alabama",01,06,2016,115th Congress,2016,Alabama,District 6,"Palmer, Gary","Putman, David"
19.1,"Congressional District 7 (115th Congress), Alabama",01,07,2016,115th Congress,2016,Alabama,District 7,,"Sewell, Terri A."
28.8,"Congressional District (at Large) (115th Congress), Alaska",02,00,2016,115th Congress,2016,Alaska,At Large,"Young, Don","Lindbeck, Steve"
23.6,"Congressional District 1 (115th Congress), Arizona",04,01,2016,115th Congress,2016,Arizona,District 1,"Babeu, Paul","O'Halleran, Tom"
33.0,"Congressional District 2 (115th Congress), Arizona",04,02,2016,115th Congress,2016,Arizona,District 2,"McSally, Martha","Heinz, Matt"
15.7,"Congressional District 3 (115th Congress), Arizona",04,03,2016,115th Congress,2016,Arizona,District 3,,"Grijalva, Raúl M."
18.6,"Congressional District 4 (115th Congress), Arizona",04,04,2016,115th Congress,2016,Arizona,District 4,"Gosar, Paul","Weisser, Mikel"
34.7,"Congressional District 5 (115th Congress), Arizona",04,05,2016,115th Congress,2016,Arizona,District 5,"Biggs, Andy","Fuentes, Talia"
42.9,"Congressional District 6 (115th Congress), Arizona",04,06,2016,115th Congress,2016,Arizona,District 6,"Schweikert, David","Williamson, W. John"
14.0,"Congressional District 7 (115th Congress), Arizona",04,07,2016,115th Congress,2016,Arizona,District 7,"Nunez, Eve","Gallego, Ruben"
28.3,"Congressional District 8 (115th Congress), Arizona",04,08,2016,115th Congress,2016,Arizona,District 8,"Franks, Trent",
36.7,"Congressional District 9 (115th Congress), Arizona",04,09,2016,115th Congress,2016,Arizona,District 9,"Giles, Dave","Sinema, Kyrsten"
15.7,"Congressional District 1 (115th Congress), Arkansas",05,01,2016,115th Congress,2016,Arkansas,District 1,"Crawford, Rick",
28.4,"Congressional District 2 (115th Congress), Arkansas",05,02,2016,115th Congress,2016,Arkansas,District 2,"Hill, French","Curry, Dianne"
25.6,"Congressional District 3 (115th Congress), Arkansas",05,03,2016,115th Congress,2016,Arkansas,District 3,"Womack, Steve",
16.1,"Congressional District 4 (115th Congress), Arkansas",05,04,2016,115th Congress,2016,Arkansas,District 4,"Westerman, Bruce",
23.2,"Congressional District 1 (115th Congress), California",06,01,2016,115th Congress,2016,California,District 1,"LaMalfa, Doug","Reed, Jim"
40.0,"Congressional District 2 (115th Congress), California",06,02,2016,115th Congress,2016,California,District 2,"Mensing, Dale K.","Huffman, Jared"
24.5,"Congressional District 3 (115th Congress), California",06,03,2016,115th Congress,2016,California,District 3,"Cleek, N. Eugene","Garamendi, John"
32.2,"Congressional District 4 (115th Congress), California",06,04,2016,115th Congress,2016,California,District 4,"McClintock, Tom","Derlet, Robert W."
30.4,"Congressional District 5 (115th Congress), California",06,05,2016,115th Congress,2016,California,District 5,"Santamaria, Carlos","Thompson, Mike"
26.8,"Congressional District 6 (115th Congress), California",06,06,2016,115th Congress,2016,California,District 6,"Evans, Robert H. Jr.","Matsui, Doris"
32.6,"Congressional District 7 (115th Congress), California",06,07,2016,115th Congress,2016,California,District 7,"Jones, Scott R.","Bera, Ami"
16.0,"Congressional District 8 (115th Congress), California",06,08,2016,115th Congress,2016,California,District 8,"Cook, Paul","Ramirez, Rita"
19.7,"Congressional District 9 (115th Congress), California",06,09,2016,115th Congress,2016,California,District 9,"Amador, Antonio C.","McNerney, Jerry"
17.2,"Congressional District 10 (115th Congress), California",06,10,2016,115th Congress,2016,California,District 10,"Denham, Jeff","Eggman, Michael"
42.6,"Congressional District 11 (115th Congress), California",06,11,2016,115th Congress,2016,California,District 11,"Petersen, Roger Allen","DeSaulnier, Mark"
56.3,"Congressional District 12 (115th Congress), California",06,12,2016,115th Congress,2016,California,District 12,,"Pelosi, Nancy"
46.1,"Congressional District 13 (115th Congress), California",06,13,2016,115th Congress,2016,California,District 13,"Caro, Sue","Lee, Barbara"
44.7,"Congressional District 14 (115th Congress), California",06,14,2016,115th Congress,2016,California,District 14,"Cardenas, Angel","Speier, Jackie"
42.4,"Congressional District 15 (115th Congress), California",06,15,2016,115th Congress,2016,California,District 15,"Turner, Danny R.","Swalwell, Eric"
12.0,"Congressional District 16 (115th Congress), California",06,16,2016,115th Congress,2016,California,District 16,"Tacherra, Johnny M.","Costa, Jim"
54.9,"Congressional District 17 (115th Congress), California",06,17,2016,115th Congress,2016,California,District 17,,"Honda, Mike M."
60.5,"Congressional District 18 (115th Congress), California",06,18,2016,115th Congress,2016,California,District 18,"Fox, Richard B.","Eshoo, Anna G."
33.5,"Congressional District 19 (115th Congress), California",06,19,2016,115th Congress,2016,California,District 19,"Lancaster, G. Burt","Lofgren, Zoe"
27.1,"Congressional District 20 (115th Congress), California",06,20,2016,115th Congress,2016,California,District 20,"Lucius, Casey","Panetta, Jimmy"
8.1,"Congressional District 21 (115th Congress), California",06,21,2016,115th Congress,2016,California,District 21,"Valadao, David","Huerta, Emilio Jesus"
24.0,"Congressional District 22 (115th Congress), California",06,22,2016,115th Congress,2016,California,District 22,"Nunes, Devin","Campos, Louie J."
19.6,"Congressional District 23 (115th Congress), California",06,23,2016,115th Congress,2016,California,District 23,"McCarthy, Kevin","Reed, Wendy"
33.0,"Congressional District 24 (115th Congress), California",06,24,2016,115th Congress,2016,California,District 24,"Fareed, Justin","Carbajal, Salud"
27.3,"Congressional District 25 (115th Congress), California",06,25,2016,115th Congress,2016,California,District 25,"Knight, Steve","Caforio, Bryan"
32.4,"Congressional District 26 (115th Congress), California",06,26,2016,115th Congress,2016,California,District 26,"Dagnesses, Rafael","Brownley, Julia"
41.2,"Congressional District 27 (115th Congress), California",06,27,2016,115th Congress,2016,California,District 27,"Orswell, Jack","Chu, Judy"
44.3,"Congressional District 28 (115th Congress), California",06,28,2016,115th Congress,2016,California,District 28,"Solis, Lenore","Schiff, Adam B."
19.3,"Congressional District 29 (115th Congress), California",06,29,2016,115th Congress,2016,California,District 29,,"Cardenas, Tony"
42.1,"Congressional District 30 (115th Congress), California",06,30,2016,115th Congress,2016,California,District 30,"Reed, Mark","Sherman, Brad"
23.0,"Congressional District 31 (115th Congress), California",06,31,2016,115th Congress,2016,California,District 31,"Chabot, Paul","Aguilar, Pete"
20.5,"Congressional District 32 (115th Congress), California",06,32,2016,115th Congress,2016,California,District 32,,"Napolitano, Grace Flores"
63.3,"Congressional District 33 (115th Congress), California",06,33,2016,115th Congress,2016,California,District 33,"Wright, Kenneth W.","Lieu, Ted"
24.2,"Congressional District 34 (115th Congress), California",06,34,2016,115th Congress,2016,California,District 34,,"Becerra, Xavier"
14.8,"Congressional District 35 (115th Congress), California",06,35,2016,115th Congress,2016,California,District 35,"Fischella, Tyler","Torres, Norma"
20.6,"Congressional District 36 (115th Congress), California",06,36,2016,115th Congress,2016,California,District 36,"Stone, Jeff","Ruiz, Raul"
37.2,"Congressional District 37 (115th Congress), California",06,37,2016,115th Congress,2016,California,District 37,,"Bass, Karen"
21.9,"Congressional District 38 (115th Congress), California",06,38,2016,115th Congress,2016,California,District 38,"Downing, Ryan","Sanchez, Linda"
40.2,"Congressional District 39 (115th Congress), California",06,39,2016,115th Congress,2016,California,District 39,"Royce, Ed","Murdock, Brett"
9.2,"Congressional District 40 (115th Congress), California",06,40,2016,115th Congress,2016,California,District 40,,"Roybal-Allard, Lucille"
17.0,"Congressional District 41 (115th Congress), California",06,41,2016,115th Congress,2016,California,District 41,"Shepherd, Doug","Takano, Mark A."
24.3,"Congressional District 42 (115th Congress), California",06,42,2016,115th Congress,2016,California,District 42,"Calvert, Ken","Sheridan, Tim"
24.9,"Congressional District 43 (115th Congress), California",06,43,2016,115th Congress,2016,California,District 43,"Navarro, Omar","Waters, Maxine"
12.1,"Congressional District 44 (115th Congress), California",06,44,2016,115th Congress,2016,California,District 44,,"Barragan, Nanette Diaz"
53.5,"Congressional District 45 (115th Congress), California",06,45,2016,115th Congress,2016,California,District 45,"Walters, Mimi","Varasteh, Ron"
17.6,"Congressional District 46 (115th Congress), California",06,46,2016,115th Congress,2016,California,District 46,,"Correa, Lou"
30.4,"Congressional District 47 (115th Congress), California",06,47,2016,115th Congress,2016,California,District 47,"Whallon, Andy","Lowenthal, Alan"
44.2,"Congressional District 48 (115th Congress), California",06,48,2016,115th Congress,2016,California,District 48,"Rohrabacher, Dana","Savary, Sue"
43.0,"Congressional District 49 (115th Congress), California",06,49,2016,115th Congress,2016,California,District 49,"Issa, Darrell","Applegate, Doug"
27.0,"Congressional District 50 (115th Congress), California",06,50,2016,115th Congress,2016,California,District 50,"Hunter, Duncan L.","Malloy, Patrick"
13.8,"Congressional District 51 (115th Congress), California",06,51,2016,115th Congress,2016,California,District 51,"Hidalgo, Juan M. Jr.","Vargas, Juan"
56.8,"Congressional District 52 (115th Congress), California",06,52,2016,115th Congress,2016,California,District 52,"Gitsham, Denise","Peters, Scott"
36.2,"Congressional District 53 (115th Congress), California",06,53,2016,115th Congress,2016,California,District 53,"Veltmeyer, James","Davis, Susan A."
45.5,"Congressional District 1 (115th Congress), Colorado",08,01,2016,115th Congress,2016,Colorado,District 1,"Stockham , Charles","DeGette, Diana L."
53.3,"Congressional District 2 (115th Congress), Colorado",08,02,2016,115th Congress,2016,Colorado,District 2,"Morse, Nicholas","Polis, Jared"
29.7,"Congressional District 3 (115th Congress), Colorado",08,03,2016,115th Congress,2016,Colorado,District 3,"Tipton, Scott R.","Schwartz, Gail"
33.7,"Congressional District 4 (115th Congress), Colorado",08,04,2016,115th Congress,2016,Colorado,District 4,"Buck, Ken","Seay, Bob"
34.8,"Congressional District 5 (115th Congress), Colorado",08,05,2016,115th Congress,2016,Colorado,District 5,"Lamborn, Doug","Plowright, Misty"
41.5,"Congressional District 6 (115th Congress), Colorado",08,06,2016,115th Congress,2016,Colorado,District 6,"Coffman, Mike","Carroll, Morgan"
31.4,"Congressional District 7 (115th Congress), Colorado",08,07,2016,115th Congress,2016,Colorado,District 7,"Athanasopoulos, George","Perlmutter, Ed"
36.4,"Congressional District 1 (115th Congress), Connecticut",09,01,2016,115th Congress,2016,Connecticut,District 1,"Corey, Matthew M.","Larson, John B."
34.3,"Congressional District 2 (115th Congress), Connecticut",09,02,2016,115th Congress,2016,Connecticut,District 2,"Novak, Daria","Courtney, Joe"
35.6,"Congressional District 3 (115th Congress), Connecticut",09,03,2016,115th Congress,2016,Connecticut,District 3,"Cadena, Angel Luis Jr.","DeLauro, Rosa L."
48.7,"Congressional District 4 (115th Congress), Connecticut",09,04,2016,115th Congress,2016,Connecticut,District 4,"Shaban, John","Himes, Jim"
35.3,"Congressional District 5 (115th Congress), Connecticut",09,05,2016,115th Congress,2016,Connecticut,District 5,"Cope, Clay","Esty, Elizabeth"
30.5,"Congressional District (at Large) (115th Congress), Delaware",10,00,2016,115th Congress,2016,Delaware,At Large,"Reigle, Hans","Rochester, Lisa Blunt"
55.4,"Delegate District (at Large) (115th Congress), District of Columbia",11,98,2016,115th Congress,2016,,,,
26.5,"Congressional District 1 (115th Congress), Florida",12,01,2016,115th Congress,2016,Florida,District 1,"Gaetz, Matt","Specht, Steven"
23.0,"Congressional District 2 (115th Congress), Florida",12,02,2016,115th Congress,2016,Florida,District 2,"Dunn, Neal","Dartland, Walter"
26.4,"Congressional District 3 (115th Congress), Florida",12,03,2016,115th Congress,2016,Florida,District 3,"Yoho, Ted","McGurn, Kenneth"
37.8,"Congressional District 4 (115th Congress), Florida",12,04,2016,115th Congress,2016,Florida,District 4,"Rutherford, John","Bruderly, David E."
19.8,"Congressional District 5 (115th Congress), Florida",12,05,2016,115th Congress,2016,Florida,District 5,"Scurry-Smith, Gloreatha","Lawson, Al"
22.6,"Congressional District 6 (115th Congress), Florida",12,06,2016,115th Congress,2016,Florida,District 6,"DeSantis, Ron","McCullough, William"
36.9,"Congressional District 7 (115th Congress), Florida",12,07,2016,115th Congress,2016,Florida,District 7,"Mica, John L.","Murphy, Stephanie"
27.5,"Congressional District 8 (115th Congress), Florida",12,08,2016,115th Congress,2016,Florida,District 8,"Posey, Bill","Westbrook, Corry"
22.1,"Congressional District 9 (115th Congress), Florida",12,09,2016,115th Congress,2016,Florida,District 9,"Liebnitzky, Wayne","Soto, Darren"
28.9,"Congressional District 10 (115th Congress), Florida",12,10,2016,115th Congress,2016,Florida,District 10,"Lowe, Thuy","Demings, Val B."
19.9,"Congressional District 11 (115th Congress), Florida",12,11,2016,115th Congress,2016,Florida,District 11,"Webster, Daniel A.","Koller, David C."
26.6,"Congressional District 12 (115th Congress), Florida",12,12,2016,115th Congress,2016,Florida,District 12,"Bilirakis, Gus Michael","Tager, Robert Matthew"
28.1,"Congressional District 13 (115th Congress), Florida",12,13,2016,115th Congress,2016,Florida,District 13,"Jolly, David W.","Crist, Charlie"
34.3,"Congressional District 14 (115th Congress), Florida",12,14,2016,115th Congress,2016,Florida,District 14,"Quinn, Christine","Castor, Kathy"
24.7,"Congressional District 15 (115th Congress), Florida",12,15,2016,115th Congress,2016,Florida,District 15,"Ross, Dennis A.","Lange, Jim"
30.9,"Congressional District 16 (115th Congress), Florida",12,16,2016,115th Congress,2016,Florida,District 16,"Buchanan, Vern","Schneider, Jan"
20.3,"Congressional District 17 (115th Congress), Florida",12,17,2016,115th Congress,2016,Florida,District 17,"Rooney, Tom","Freeman, April"
29.7,"Congressional District 18 (115th Congress), Florida",12,18,2016,115th Congress,2016,Florida,District 18,"Mast, Brian","Perkins, Randy"
31.3,"Congressional District 19 (115th Congress), Florida",12,19,2016,115th Congress,2016,Florida,District 19,"Rooney, Francis","Neeld, Robert M."
20.6,"Congressional District 20 (115th Congress), Florida",12,20,2016,115th Congress,2016,Florida,District 20,"Stein, Gary","Hastings, Alcee L."
33.7,"Congressional District 21 (115th Congress), Florida",12,21,2016,115th Congress,2016,Florida,District 21,"Spain, Paul Douglas","Frankel, Lois"
37.5,"Congressional District 22 (115th Congress), Florida",12,22,2016,115th Congress,2016,Florida,District 22,"McGee, Andrea Leigh","Deutch, Ted"
38.1,"Congressional District 23 (115th Congress), Florida",12,23,2016,115th Congress,2016,Florida,District 23,"Kaufman, Joseph","Wasserman-Schultz, Debbie"
18.9,"Congressional District 24 (115th Congress), Florida",12,24,2016,115th Congress,2016,Florida,District 24,,
22.7,"Congressional District 25 (115th Congress), Florida",12,25,2016,115th Congress,2016,Florida,District 25,"Diaz-Balart, Mario","Valdes, Alina"
25.1,"Congressional District 26 (115th Congress), Florida",12,26,2016,115th Congress,2016,Florida,District 26,"Curbelo, Carlos","Garcia, Joe"
37.4,"Congressional District 27 (115th Congress), Florida",12,27,2016,115th Congress,2016,Florida,District 27,"Ros-Lehtinen, Ileana","Fuhrman, Scott"
25.1,"Congressional District 1 (115th Congress), Georgia",13,01,2016,115th Congress,2016,Georgia,District 1,"Carter, Earl Leroy",
17.3,"Congressional District 2 (115th Congress), Georgia",13,02,2016,115th Congress,2016,Georgia,District 2,"Duke, Greg","Bishop, Sanford"
25.2,"Congressional District 3 (115th Congress), Georgia",13,03,2016,115th Congress,2016,Georgia,District 3,"Ferguson, Drew","Pendley, Angela"
29.9,"Congressional District 4 (115th Congress), Georgia",13,04,2016,115th Congress,2016,Georgia,District 4,"Armendariz, Victor","Johnson, Henry C."
40.1,"Congressional District 5 (115th Congress), Georgia",13,05,2016,115th Congress,2016,Georgia,District 5,"Bell, Douglas","Lewis, John"
59.1,"Congressional District 6 (115th Congress), Georgia",13,06,2016,115th Congress,2016,Georgia,District 6,"Price, Thomas E.","Stooksbury, Rodney"
39.3,"Congressional District 7 (115th Congress), Georgia",13,07,2016,115th Congress,2016,Georgia,District 7,"Woodall, Rob","Malik, Rashid"
19.9,"Congressional District 8 (115th Congress), Georgia",13,08,2016,115th Congress,2016,Georgia,District 8,"Scott, Austin","Harris, James Neal"
21.3,"Congressional District 9 (115th Congress), Georgia",13,09,2016,115th Congress,2016,Georgia,District 9,"Collins, Doug",
24.7,"Congressional District 10 (115th Congress), Georgia",13,10,2016,115th Congress,2016,Georgia,District 10,"Hice, Jody",
39.7,"Congressional District 11 (115th Congress), Georgia",13,11,2016,115th Congress,2016,Georgia,District 11,"Loudermilk, Barry","Wilson, Don"
20.7,"Congressional District 12 (115th Congress), Georgia",13,12,2016,115th Congress,2016,Georgia,District 12,"Allen, Rick W.","McCracken, Patricia Carpenter"
28.3,"Congressional District 13 (115th Congress), Georgia",13,13,2016,115th Congress,2016,Georgia,District 13,,"Scott, David"
17.1,"Congressional District 14 (115th Congress), Georgia",13,14,2016,115th Congress,2016,Georgia,District 14,"Graves, Tom",
34.6,"Congressional District 1 (115th Congress), Hawaii",15,01,2016,115th Congress,2016,Hawaii,District 1,"Ostrov, Shirlene D.","Hanabusa, Colleen Wakako"
28.0,"Congressional District 2 (115th Congress), Hawaii",15,02,2016,115th Congress,2016,Hawaii,District 2,"Kaaihue, Angela Aulani","Gabbard, Tulsi"
24.5,"Congressional District 1 (115th Congress), Idaho",16,01,2016,115th Congress,2016,Idaho,District 1,"Labrador, Raul R.","Piotrowski, James"
28.1,"Congressional District 2 (115th Congress), Idaho",16,02,2016,115th Congress,2016,Idaho,District 2,"Simpson, Michael K.","Martinez, Jennifer"
27.4,"Congressional District 1 (115th Congress), Illinois",17,01,2016,115th Congress,2016,Illinois,District 1,"Deuser, August (O'Neill)","Rush, Bobby L."
22.3,"Congressional District 2 (115th Congress), Illinois",17,02,2016,115th Congress,2016,Illinois,District 2,"Morrow, John F.","Kelly, Robin L."
26.4,"Congressional District 3 (115th Congress), Illinois",17,03,2016,115th Congress,2016,Illinois,District 3,,"Lipinski, Daniel William"
21.8,"Congressional District 4 (115th Congress), Illinois",17,04,2016,115th Congress,2016,Illinois,District 4,,"Gutierrez, Luis V."
52.3,"Congressional District 5 (115th Congress), Illinois",17,05,2016,115th Congress,2016,Illinois,District 5,"Kolber, Vincent A.","Quigley, Mike"
50.9,"Congressional District 6 (115th Congress), Illinois",17,06,2016,115th Congress,2016,Illinois,District 6,"Roskam, Peter J.","Howland, Amanda"
39.7,"Congressional District 7 (115th Congress), Illinois",17,07,2016,115th Congress,2016,Illinois,District 7,"Leef, Jeffrey A","Davis, Danny K."
33.0,"Congressional District 8 (115th Congress), Illinois",17,08,2016,115th Congress,2016,Illinois,District 8,"DiCianni, Peter","Krishnamoorthi, Raja"
52.1,"Congressional District 9 (115th Congress), Illinois",17,09,2016,115th Congress,2016,Illinois,District 9,"Lasonde, Joan McCarthy","Schakowsky, Janice D."
43.7,"Congressional District 10 (115th Congress), Illinois",17,10,2016,115th Congress,2016,Illinois,District 10,"Dold, Robert","Schneider, Brad"
34.8,"Congressional District 11 (115th Congress), Illinois",17,11,2016,115th Congress,2016,Illinois,District 11,"Khouri, Tonia","Foster, Bill"
22.1,"Congressional District 12 (115th Congress), Illinois",17,12,2016,115th Congress,2016,Illinois,District 12,"Bost, Mike","Baricevic, Charles"
30.0,"Congressional District 13 (115th Congress), Illinois",17,13,2016,115th Congress,2016,Illinois,District 13,"Davis, Rodney L.","Wicklund, Mark D."
39.6,"Congressional District 14 (115th Congress), Illinois",17,14,2016,115th Congress,2016,Illinois,District 14,"Hultgren, Randy M.","Walz, Jim"
18.9,"Congressional District 15 (115th Congress), Illinois",17,15,2016,115th Congress,2016,Illinois,District 15,"Shimkus, John M.",
21.8,"Congressional District 16 (115th Congress), Illinois",17,16,2016,115th Congress,2016,Illinois,District 16,"Kinzinger, Adam",
18.3,"Congressional District 17 (115th Congress), Illinois",17,17,2016,115th Congress,2016,Illinois,District 17,"Harlan, Patrick","Bustos, Cheri"
31.7,"Congressional District 18 (115th Congress), Illinois",17,18,2016,115th Congress,2016,Illinois,District 18,"LaHood, Darin","Rodriguez, Junius"
21.8,"Congressional District 1 (115th Congress), Indiana",18,01,2016,115th Congress,2016,Indiana,District 1,,"Visclosky, Peter J."
21.0,"Congressional District 2 (115th Congress), Indiana",18,02,2016,115th Congress,2016,Indiana,District 2,"Walorski, Jackie","Coleman, Lynn C."
22.3,"Congressional District 3 (115th Congress), Indiana",18,03,2016,115th Congress,2016,Indiana,District 3,"Banks, James","Schrader, Thomas Allen"
24.7,"Congressional District 4 (115th Congress), Indiana",18,04,2016,115th Congress,2016,Indiana,District 4,"Rokita, Todd","Dale, John"
43.6,"Congressional District 5 (115th Congress), Indiana",18,05,2016,115th Congress,2016,Indiana,District 5,"Brooks, Susan","Demaree, Angela"
19.8,"Congressional District 6 (115th Congress), Indiana",18,06,2016,115th Congress,2016,Indiana,District 6,"Messer, Luke","Welsh, Barry A."
22.3,"Congressional District 7 (115th Congress), Indiana",18,07,2016,115th Congress,2016,Indiana,District 7,"Ping, Catherine","Carson, Andre D."
19.9,"Congressional District 8 (115th Congress), Indiana",18,08,2016,115th Congress,2016,Indiana,District 8,"Bucshon, Larry D.","Drake, Ron"
25.2,"Congressional District 9 (115th Congress), Indiana",18,09,2016,115th Congress,2016,Indiana,District 9,"Hollingsworth, Trey","Yoder, Shelli"
25.5,"Congressional District 1 (115th Congress), Iowa",19,01,2016,115th Congress,2016,Iowa,District 1,"Blum, Rod","Vernon, Monica"
27.6,"Congressional District 2 (115th Congress), Iowa",19,02,2016,115th Congress,2016,Iowa,District 2,"Peters, Christopher","Loebsack, David"
32.0,"Congressional District 3 (115th Congress), Iowa",19,03,2016,115th Congress,2016,Iowa,District 3,"Young, David","Mowrer, Jim"
23.3,"Congressional District 4 (115th Congress), Iowa",19,04,2016,115th Congress,2016,Iowa,District 4,"King, Steve","Weaver, Kim"
23.9,"Congressional District 1 (115th Congress), Kansas",20,01,2016,115th Congress,2016,Kansas,District 1,"Marshall, Roger",
27.7,"Congressional District 2 (115th Congress), Kansas",20,02,2016,115th Congress,2016,Kansas,District 2,"Jenkins, Lynn","Potter, Britani"
45.6,"Congressional District 3 (115th Congress), Kansas",20,03,2016,115th Congress,2016,Kansas,District 3,"Yoder, Kevin","Sidie, Jay"
28.2,"Congressional District 4 (115th Congress), Kansas",20,04,2016,115th Congress,2016,Kansas,District 4,"Pompeo, Mike","Giroux, Daniel B."
15.9,"Congressional District 1 (115th Congress), Kentucky",21,01,2016,115th Congress,2016,Kentucky,District 1,"Comer, James R.","Gaskins, Sam"
19.5,"Congressional District 2 (115th Congress), Kentucky",21,02,2016,115th Congress,2016,Kentucky,District 2,"Guthrie, Brett",
31.0,"Congressional District 3 (115th Congress), Kentucky",21,03,2016,115th Congress,2016,Kentucky,District 3,"Bratcher, Harold","Yarmuth, John"
26.6,"Congressional District 4 (115th Congress), Kentucky",21,04,2016,115th Congress,2016,Kentucky,District 4,"Massie, Thomas","Sidle, Calvin"
12.5,"Congressional District 5 (115th Congress), Kentucky",21,05,2016,115th Congress,2016,Kentucky,District 5,"Rogers, Harold",
30.3,"Congressional District 6 (115th Congress), Kentucky",21,06,2016,115th Congress,2016,Kentucky,District 6,"Barr, Garland","Kemper, Nancy Jo"
29.1,"Congressional District 1 (115th Congress), Louisiana",22,01,2016,115th Congress,2016,Louisiana,District 1,"Scalise, Steve","Dugas, Lee"
22.5,"Congressional District 2 (115th Congress), Louisiana",22,02,2016,115th Congress,2016,Louisiana,District 2,,"Richmond, Cedric"
20.2,"Congressional District 3 (115th Congress), Louisiana",22,03,2016,115th Congress,2016,Louisiana,District 3,"Angelle, Scott A.","Hebert, Jacob"
20.2,"Congressional District 3 (115th Congress), Louisiana",22,03,2016,115th Congress,2016,Louisiana,District 3,"Higgins, Clay",
19.6,"Congressional District 4 (115th Congress), Louisiana",22,04,2016,115th Congress,2016,Louisiana,District 4,"Johnson, Mike","Jones, Marshall"
19.6,"Congressional District 4 (115th Congress), Louisiana",22,04,2016,115th Congress,2016,Louisiana,District 4,"Johnson, Mike","Jones, Marshall"
17.2,"Congressional District 5 (115th Congress), Louisiana",22,05,2016,115th Congress,2016,Louisiana,District 5,"Abraham, Ralph Lee",
28.5,"Congressional District 6 (115th Congress), Louisiana",22,06,2016,115th Congress,2016,Louisiana,District 6,"Graves, Garret","Lieberman, Richard"
